Sensitivity,Method,Year,Records
Just email address/Online information,inside job,2004,92
Credit card information,hacked,2005,40
SSN/Personal details,lost / stolen device or media,2005,0.2
Credit card information,lost / stolen device or media,2005,3.9
SSN/Personal details,poor security,2005,0.13
Just email address/Online information,accidentally published,2006,20
Just email address/Online information,hacked,2006,4
Credit card information,inside job,2006,2.6
SSN/Personal details,lost / stolen device or media,2006,0.2
Just email address/Online information,lost / stolen device or media,2006,17
SSN/Personal details,lost / stolen device or media,2006,26.5
SSN/Personal details,hacked,2007,1.6
Credit card information,hacked,2007,4.2
Just email address/Online information,hacked,2007,6.3
Credit card information,hacked,2007,94
SSN/Personal details,inside job,2007,0.09
Credit card information,inside job,2007,1
Credit card information,inside job,2007,8.5
Just email address/Online information,inside job,2007,8.6
SSN/Personal details,lost / stolen device or media,2007,0.16
SSN/Personal details,lost / stolen device or media,2007,0.8
SSN/Personal details,lost / stolen device or media,2007,3
SSN/Personal details,lost / stolen device or media,2007,3
Just email address/Online information,lost / stolen device or media,2007,25
SSN/Personal details,accidentally published,2008,1.6
SSN/Personal details,accidentally published,2008,4
SSN/Personal details,hacked,2008,1.5
Just email address/Online information,hacked,2008,5
Just email address/Online information,hacked,2008,6
Credit card information,hacked,2008,18
SSN/Personal details,inside job,2008,11.1
SSN/Personal details,lost / stolen device or media,2008,0.05
SSN/Personal details,lost / stolen device or media,2008,0.072
SSN/Personal details,lost / stolen device or media,2008,0.084
Just email address/Online information,lost / stolen device or media,2008,0.1
SSN/Personal details,lost / stolen device or media,2008,0.1
Full bank account details,lost / stolen device or media,2008,1.7
Credit card information,lost / stolen device or media,2008,2.1
Email password/Health records,lost / stolen device or media,2008,2.2
Just email address/Online information,lost / stolen device or media,2008,12.5
Credit card information,hacked,2009,0.16
SSN/Personal details,hacked,2009,0.5
Credit card information,hacked,2009,0.6
Just email address/Online information,hacked,2009,5
Email password/Health records,hacked,2009,8.3
Just email address/Online information,hacked,2009,32
Credit card information,hacked,2009,130
SSN/Personal details,lost / stolen device or media,2009,0.072
SSN/Personal details,lost / stolen device or media,2009,0.13
Email password/Health records,lost / stolen device or media,2009,0.3
SSN/Personal details,lost / stolen device or media,2009,1
SSN/Personal details,lost / stolen device or media,2009,1.2
Email password/Health records,lost / stolen device or media,2009,1.5
SSN/Personal details,lost / stolen device or media,2009,76
SSN/Personal details,accidentally published,2010,0.04
Just email address/Online information,hacked,2010,0.1
Email password/Health records,hacked,2010,0.16
SSN/Personal details,hacked,2010,0.2
Credit card information,hacked,2010,0.4
Email password/Health records,hacked,2010,0.5
SSN/Personal details,hacked,2010,0.8
SSN/Personal details,hacked,2010,1.5
Credit card information,hacked,2010,2.3
Full bank account details,inside job,2010,0.3
Full bank account details,inside job,2010,0.3
SSN/Personal details,inside job,2010,0.4
SSN/Personal details,lost / stolen device or media,2010,0.1
Email password/Health records,lost / stolen device or media,2010,0.13
Email password/Health records,lost / stolen device or media,2010,0.18
Email password/Health records,lost / stolen device or media,2010,0.4
Full bank account details,lost / stolen device or media,2010,0.8
Email password/Health records,lost / stolen device or media,2010,1.7
Credit card information,lost / stolen device or media,2010,2.6
SSN/Personal details,lost / stolen device or media,2010,3.3
Just email address/Online information,accidentally published,2011,0.05
SSN/Personal details,accidentally published,2011,3.5
Just email address/Online information,hacked,2011,0.062
SSN/Personal details,hacked,2011,0.073
Credit card information,hacked,2011,0.13
Just email address/Online information,hacked,2011,0.18
